"station_id","stationame","month_beginning","avg_weekday_rides","avg_saturday_rides","avg_sunday_holiday_rides","monthtotal"
"40900","Howard","2001-01-01T00:00:00.000","6233.90","3814.50","2408.60","164447"
"41190","Jarvis","2001-01-01T00:00:00.000","1489.10","1054","718","40567"
"40100","Morse","2001-01-01T00:00:00.000","4412.50","3064.50","2087.80","119772"
"41300","Loyola","2001-01-01T00:00:00.000","4664.50","3156","1952.80","125008"
"40760","Granville","2001-01-01T00:00:00.000","3109.80","2126","1453.80","84189"
"40880","Thorndale","2001-01-01T00:00:00.000","2977.70","1840.30","1262.60","79184"
"41380","Bryn Mawr","2001-01-01T00:00:00.000","4425.40","2708.30","1881.20","117597"
"40340","Berwyn","2001-01-01T00:00:00.000","3329.60","2050.80","1445.60","88683"
"41200","Argyle","2001-01-01T00:00:00.000","2745.50","1874.50","1268.20","74240"
"40770","Lawrence","2001-01-01T00:00:00.000","2689.60","1869","1227.80","72786"
"40540","Wilson","2001-01-01T00:00:00.000","4968.10","3069","1903.80","131094"
"40080","Sheridan","2001-01-01T00:00:00.000","4455.90","2625.80","1685.20","116958"
"41420","Addison-North Main","2001-01-01T00:00:00.000","4805.50","2893.50","1900.20","126797"
"41320","Belmont-North Main","2001-01-01T00:00:00.000","9075.50","6860.50","4241.40","248310"
"41220","Fullerton","2001-01-01T00:00:00.000","10121","5239.80","3116.20","259203"
"40650","North/Clybourn","2001-01-01T00:00:00.000","3525.60","2674.50","1772.80","97126"
"40630","Clark/Division","2001-01-01T00:00:00.000","6501.50","4726.50","3209","177985"
"41450","Chicago/State","2001-01-01T00:00:00.000","12311","9184.30","5658.60","335872"
"40330","Grand/State","2001-01-01T00:00:00.000","8378.50","5428","3504.80","223562"
"41660","Lake/State","2001-01-01T00:00:00.000","13360.80","5721.80","3575.80","334704"
"40500","Washington/State","2001-01-01T00:00:00.000","6805.10","2730.50","1386.60","167567"
"41090","Monroe/State","2001-01-01T00:00:00.000","7123","2439.30","1269.20","172809"
